Date,HomeTeam,AwayTeam,FTHG,FTAG
16/02/2025,Betis,Sociedad,3,0
17/02/2025,Barcelona,Vallecano,1,0
21/02/2025,Celta,Osasuna,1,0
22/02/2025,Alaves,Espanol,0,1
22/02/2025,Vallecano,Villarreal,0,1
22/02/2025,Valencia,Ath Madrid,0,3
22/02/2025,Las Palmas,Barcelona,0,2
23/02/2025,Ath Bilbao,Valladolid,7,1
23/02/2025,Real Madrid,Girona,2,0
23/02/2025,Getafe,Betis,1,2
23/02/2025,Sociedad,Leganes,3,0
24/02/2025,Sevilla,Mallorca,1,1
28/02/2025,Valladolid,Las Palmas,1,1
01/03/2025,Girona,Celta,2,2
01/03/2025,Vallecano,Sevilla,1,1
01/03/2025,Betis,Real Madrid,2,1
01/03/2025,Ath Madrid,Ath Bilbao,1,0
02/03/2025,Leganes,Getafe,1,0
02/03/2025,Barcelona,Sociedad,4,0
02/03/2025,Mallorca,Alaves,1,1
02/03/2025,Osasuna,Valencia,3,3
08/03/2025,Celta,Leganes,2,1
08/03/2025,Alaves,Villarreal,1,0
08/03/2025,Valencia,Valladolid,2,1
09/03/2025,Getafe,Ath Madrid,2,1
09/03/2025,Real Madrid,Vallecano,2,1
09/03/2025,Ath Bilbao,Mallorca,1,1
09/03/2025,Betis,Las Palmas,1,0
09/03/2025,Sociedad,Sevilla,0,1
10/03/2025,Espanol,Girona,1,1
14/03/2025,Las Palmas,Alaves,2,2
15/03/2025,Valladolid,Celta,0,1
15/03/2025,Mallorca,Espanol,2,1
15/03/2025,Villarreal,Real Madrid,1,2
15/03/2025,Girona,Valencia,1,1
16/03/2025,Leganes,Betis,2,3
16/03/2025,Sevilla,Ath Bilbao,0,1
16/03/2025,Osasuna,Getafe,1,2
16/03/2025,Vallecano,Sociedad,2,2
16/03/2025,Ath Madrid,Barcelona,2,4
27/03/2025,Barcelona,Osasuna,3,0
29/03/2025,Sociedad,Valladolid,2,1
29/03/2025,Espanol,Ath Madrid,1,1
29/03/2025,Alaves,Vallecano,0,2
29/03/2025,Real Madrid,Leganes,3,2
30/03/2025,Getafe,Villarreal,1,2
30/03/2025,Barcelona,Girona,4,1
30/03/2025,Ath Bilbao,Osasuna,0,0
30/03/2025,Valencia,Mallorca,1,0
30/03/2025,Betis,Sevilla,2,1
31/03/2025,Celta,Las Palmas,1,1
04/04/2025,Vallecano,Espanol,0,4
05/04/2025,Girona,Alaves,0,1
05/04/2025,Real Madrid,Valencia,1,2
05/04/2025,Mallorca,Celta,1,2
05/04/2025,Barcelona,Betis,1,1
06/04/2025,Las Palmas,Sociedad,1,3
06/04/2025,Sevilla,Ath Madrid,1,2
06/04/2025,Valladolid,Getafe,0,4
06/04/2025,Villarreal,Ath Bilbao,0,0
07/04/2025,Leganes,Osasuna,1,1
11/04/2025,Valencia,Sevilla,1,0
12/04/2025,Sociedad,Mallorca,0,2
12/04/2025,Getafe,Las Palmas,1,3
12/04/2025,Celta,Espanol,0,2
12/04/2025,Leganes,Barcelona,0,1
13/04/2025,Osasuna,Girona,2,1
13/04/2025,Alaves,Real Madrid,0,1
13/04/2025,Betis,Villarreal,1,2
13/04/2025,Ath Bilbao,Vallecano,3,1
14/04/2025,Ath Madrid,Valladolid,4,2
18/04/2025,Espanol,Getafe,1,0
19/04/2025,Vallecano,Valencia,1,1
19/04/2025,Barcelona,Celta,4,3
19/04/2025,Mallorca,Leganes,0,0
19/04/2025,Las Palmas,Ath Madrid,1,0
20/04/2025,Valladolid,Osasuna,2,3
20/04/2025,Villarreal,Sociedad,2,2
20/04/2025,Sevilla,Alaves,1,1
20/04/2025,Real Madrid,Ath Bilbao,1,0
21/04/2025,Girona,Betis,1,3
22/04/2025,Valencia,Espanol,1,1
22/04/2025,Barcelona,Mallorca,1,0
23/04/2025,Ath Bilbao,Las Palmas,1,0
23/04/2025,Celta,Villarreal,3,0
23/04/2025,Alaves,Sociedad,1,0
23/04/2025,Getafe,Real Madrid,0,1
24/04/2025,Leganes,Girona,1,1
24/04/2025,Osasuna,Sevilla,1,0
24/04/2025,Ath Madrid,Vallecano,3,0
24/04/2025,Betis,Valladolid,5,1
27/04/2025,Villarreal,Espanol,1,0
02/05/2025,Vallecano,Getafe,1,0
03/05/2025,Alaves,Ath Madrid,0,0
03/05/2025,Villarreal,Osasuna,4,2
03/05/2025,Las Palmas,Valencia,2,3
03/05/2025,Valladolid,Barcelona,1,2
04/05/2025,Real Madrid,Celta,3,2
04/05/2025,Sevilla,Leganes,2,2
04/05/2025,Espanol,Betis,1,2
04/05/2025,Sociedad,Ath Bilbao,0,0
05/05/2025,Girona,Mallorca,1,0
09/05/2025,Las Palmas,Vallecano,0,1
10/05/2025,Valencia,Getafe,3,0
10/05/2025,Celta,Sevilla,3,2
10/05/2025,Girona,Villarreal,0,1
10/05/2025,Mallorca,Valladolid,2,1
10/05/2025,Ath Madrid,Sociedad,4,0
11/05/2025,Leganes,Espanol,3,2
11/05/2025,Barcelona,Real Madrid,4,3
11/05/2025,Ath Bilbao,Alaves,1,0
11/05/2025,Betis,Osasuna,1,1
13/05/2025,Valladolid,Girona,0,1
13/05/2025,Sociedad,Celta,0,1
13/05/2025,Sevilla,Las Palmas,1,0
14/05/2025,Alaves,Valencia,1,0
14/05/2025,Villarreal,Leganes,3,0
14/05/2025,Real Madrid,Mallorca,2,1
15/05/2025,Vallecano,Betis,2,2
15/05/2025,Osasuna,Ath Madrid,2,0
15/05/2025,Espanol,Barcelona,0,2
15/05/2025,Getafe,Ath Bilbao,0,2
18/05/2025,Ath Madrid,Betis,4,1
18/05/2025,Barcelona,Villarreal,2,3
18/05/2025,Celta,Vallecano,1,2
18/05/2025,Las Palmas,Leganes,0,1
18/05/2025,Mallorca,Getafe,1,2
18/05/2025,Osasuna,Espanol,2,0
18/05/2025,Sevilla,Real Madrid,0,2
18/05/2025,Sociedad,Girona,3,2
18/05/2025,Valencia,Ath Bilbao,0,1
18/05/2025,Valladolid,Alaves,0,1
23/05/2025,Betis,Valencia,1,1
24/05/2025,Real Madrid,Sociedad,2,0
24/05/2025,Espanol,Las Palmas,2,0
24/05/2025,Leganes,Valladolid,3,0
24/05/2025,Alaves,Osasuna,1,1
24/05/2025,Getafe,Celta,1,2
24/05/2025,Vallecano,Mallorca,0,0
25/05/2025,Girona,Ath Madrid,0,4
25/05/2025,Villarreal,Sevilla,4,2
25/05/2025,Ath Bilbao,Barcelona,0,3
